日付,幸せ感レベル,ストレッチ時間,ウォーキング時間,睡眠の質,睡眠時間（時間換算）,睡眠時間（分換算）,睡眠時間（時間）,睡眠時間（分）,寝付き満足度,深い睡眠感,目覚め感,モチベーション,感謝数,感謝1,感謝2,感謝3
2025/03/07,77.51666666666667,30,50,69.5,7.0,0.0,7.0,0.0,3,3,3,4,3,"やりたい事があること","健康でいられたこと","大事がなかったこと"
2025/03/08,95.2,30,90,84.0,8.0,0.0,8.0,0.0,4,4,4,4,3,"平穏な日々に","一番は健康に","両親に遅いけど"
2025/03/09,55.75,30,0,52.5,5.0,0.0,5.0,0.0,3,2,2,3,3,"アプリ壁も乗り越えられた","一日無事に過ごせた","両親に心から"
2025/03/10,91.75,30,90,72.5,5.0,0.0,5.0,0.0,3,4,4,4,3,"諦めなければ道は拓ける","健康あって初めて","生活基盤両親には"
2025/03/11,90.1,30,90,67.0,6.0,0.0,6.0,0.0,3,4,3,3,3,"一難去ってまた一難/諦めず必ず光","一日無事に過ごせた","やりたい事ができている"
2025/03/16,58.15,30,0,60.5,5.0,0.0,5.0,0.0,3,3,3,3,3,"　図に載るな教訓に","アプリ諦めなければ","健康第一忘れない"
2025/03/19,92.8,30,90,76.0,8.0,0.0,8.0,0.0,3,3,4,4,3,"気持ちよく温泉に","アプリ完成目処に","健康でいられることに"
2025/03/20,88.525,30,90,61.75,5.5,30.0,5.0,30.0,3,3,3,3,3,"アプリ完成へ","やる気維持","健康維持"
2025/03/21,88.525,30,90,61.75,5.5,30.0,5.0,30.0,3,3,3,3,3,"アプリgit","質素倹約生活","健康でいられる"
2025/03/23,59.650000000000006,0,60,65.5,7.0,0.0,7.0,0.0,3,3,3,3,2,"アプリ前進に","健康に",""
2025/03/24,79.27499999999999,30,90,64.25,6.5,30.0,6.0,30.0,3,3,3,3,2,"健康に","アプリ前進",""
2025/03/25,90.1,30,90,67.0,6.0,0.0,6.0,0.0,3,3,3,4,3,"健康に","両親に","アプリここまで"
2025/03/26,87.85,30,90,59.5,3.0,0.0,3.0,0.0,3,3,3,4,3,"tymy","健康","自由"
2025/03/27,82.575,30,90,75.25,4.5,30.0,4.0,30.0,4,4,4,4,2,"Tmy仕込んで引付て待つ","appここまで来れて",""
2025/03/28,88.9,30,90,63.0,6.0,0.0,6.0,0.0,3,3,3,3,3,"appUI改良集中","ℹ︎引付-10%","健康に"
2025/03/29,65.2,30,0,84.0,8.0,0.0,8.0,0.0,4,4,4,4,3,"健康","自由","app"
2025/03/30,94.44999999999999,30,90,81.5,7.0,0.0,7.0,0.0,4,4,4,4,3,"app最後の修正へ","ℹ︎引付け再認識","健康一番再認識"
2025/03/31,62.5,30,0,75.0,6.0,0.0,6.0,0.0,3,4,4,4,3,"家族無事に","引付エントリに","app実用化目前迄"
2025/04/01,93.25,30,90,77.5,7.0,0.0,7.0,0.0,3,4,4,4,3,"引付xエントリxセットx待つ","app実用化前夜に","健康があってこそ"
2025/04/03,83.7,30,90,79.0,6.0,0.0,6.0,0.0,4,4,4,4,2,"戦友が居る","app手応え",""
2025/04/04,74.55,30,90,48.5,5.0,0.0,5.0,0.0,2,2,2,3,2,"app申請へ","戦友興味大",""
2025/04/05,88.9,30,90,63.0,6.0,0.0,6.0,0.0,3,3,3,3,3,"両親に","自由に","健康に"
2025/04/06,62.8,30,0,76.0,8.0,0.0,8.0,0.0,3,4,4,3,3,"app本気で公開へ","ℹ︎忍耐に尽きるに","健康感謝忘れない"
2025/04/07,53.35000000000001,30,0,44.5,5.0,0.0,5.0,0.0,2,2,2,2,3,"恐怖感との戦いに","忍耐に","健康忘れない"
2025/04/08,73.45833333333333,10,90,33.75,5.5,30.0,5.0,30.0,1,1,1,2,3,"健康第一","両親に","一番大事な事忘れない"
2025/04/10,74.1,30,90,47.0,6.0,0.0,6.0,0.0,2,2,2,2,2,"健康に","両親に",""
2025/04/11,70.4,30,90,68.0,8.0,0.0,8.0,0.0,3,2,3,4,1,"ℹ︎我慢x勇気x情報に","",""
2025/04/12,51.599999999999994,30,0,72.0,8.0,0.0,8.0,0.0,3,3,3,4,2,"紙一重の危機脱出に","両親の家に",""
2025/04/13,87.25,30,90,57.5,7.0,0.0,7.0,0.0,2,2,3,3,3,"アプリ壁クリアほぼ完成へ","tmy薄氷を履んでexitに","健康に"
2025/04/14,90.85,30,90,69.5,7.0,0.0,7.0,0.0,3,3,3,4,3,"app申請に向けbu","ℹ︎己を管理に","健康が有れば"
2025/04/15,55.5,30,0,51.66666666666667,4.666666666666667,40.0,4.0,40.0,2,2,3,3,3,"アプリUI改善に","健康で居られる事に","両親の気持ちに"
2025/04/16,91.6,30,90,72.0,8.0,0.0,8.0,0.0,3,3,3,4,3,"アプリ公開実感に","経済的自立に","健康が何より"
2025/04/17,90.85000000000001,30,90,69.5,7.0,0.0,7.0,0.0,3,3,3,4,3,"アプリ審査に向けて進捗に","ℹ︎静観の心境に","温泉に平和に"
